Vivado Simulator 2019.1
Time resolution is 1 ps
WARNING: File reg_init.mem referenced on C:/Users/yashw/RISC-V_PROJECT.srcs/sources_1/new/reg_file.sv at line 27 cannot be opened for reading. Please ensure that this file is available in the current working directory.
==== RISC-V Top Module Testbench Started ====
Time: 460000 | PC=0x00000058 | Inst=0x006fa023 | rs1=x31=0x00000064 | rs2=x6=0x0000000f | rd=x0 | alu_op=0000 | alu_result=0x00000064 | MemRW=1 | RegWrite=0 | MemOut=0x0000000f
Time: 470000 | PC=0x0000005c | Inst=0x007f9223 | rs1=x31=0x00000064 | rs2=x7=0x0000000a | rd=x4 | alu_op=0000 | alu_result=0x00000068 | MemRW=1 | RegWrite=0 | MemOut=0x0000000a
Time: 480000 | PC=0x00000060 | Inst=0x008f8423 | rs1=x31=0x00000064 | rs2=x8=0x00000005 | rd=x8 | alu_op=0000 | alu_result=0x0000006c | MemRW=1 | RegWrite=0 | MemOut=0x00000005
Time: 490000 | PC=0x00000064 | Inst=0x000fac03 | rs1=x31=0x00000064 | rs2=x0=0x00000000 | rd=x24 | alu_op=0000 | alu_result=0x00000064 | MemRW=0 | RegWrite=1 | MemOut=0x0000000f
Time: 500000 | PC=0x00000068 | Inst=0x004f9c83 | rs1=x31=0x00000064 | rs2=x4=0x000000ff | rd=x25 | alu_op=0000 | alu_result=0x00000068 | MemRW=0 | RegWrite=1 | MemOut=0x0000000a
Time: 510000 | PC=0x0000006c | Inst=0x004fdd03 | rs1=x31=0x00000064 | rs2=x4=0x000000ff | rd=x26 | alu_op=0000 | alu_result=0x00000068 | MemRW=0 | RegWrite=1 | MemOut=0x0000000a
Time: 520000 | PC=0x00000070 | Inst=0x008f8d83 | rs1=x31=0x00000064 | rs2=x8=0x00000005 | rd=x27 | alu_op=0000 | alu_result=0x0000006c | MemRW=0 | RegWrite=1 | MemOut=0x00000005
Time: 530000 | PC=0x00000074 | Inst=0x008fce03 | rs1=x31=0x00000064 | rs2=x8=0x00000005 | rd=x28 | alu_op=0000 | alu_result=0x0000006c | MemRW=0 | RegWrite=1 | MemOut=0x00000005
Time: 540000 | PC=0x00000078 | Inst=0x00108463 | rs1=x1=0x00000005 | rs2=x1=0x00000005 | rd=x8 | alu_op=0000 | alu_result=0x0000000a | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 550000 | PC=0x00000080 | Inst=0x00209463 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 560000 | PC=0x00000088 | Inst=0x0020c463 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 570000 | PC=0x00000090 | Inst=0x00115463 | rs1=x2=0x0000000a | rs2=x1=0x00000005 | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 580000 | PC=0x00000098 | Inst=0x0020e463 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 590000 | PC=0x000000a0 | Inst=0x00117463 | rs1=x2=0x0000000a | rs2=x1=0x00000005 | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
